id ,product,category,brand,sale_price,rating,company
280,"Revlon Eterna '27' Moisture Cream with Progenitin, 2 Ounce","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Lotions']]",Revlon,15.75,3,amazon
281,"Revlon Lash Curlers, 1 Count","[['Beauty', 'Tools & Accessories', 'Makeup Brushes & Tools', 'Eyelash Tools', 'Curlers']]",Revlon,3.98,3.5,amazon
282,"Neutrogena Clean Conditioner, Replenishing , 10.1 Fluid Ounce","[['Beauty', 'Hair Care', 'Conditioners']]",Neutrogena,12.99,5,amazon
283,"Kiss My Face Bar Soap, 8.0 oz, Pure Olive Oil. 1-Bar","[['Beauty', 'Skin Care', 'Face', 'Oils & Serums']]",Kiss My Face,2.3,5,amazon
284,"L'Oreal Paris Hydra-Renewal Continuous Moisture Cream, 1.7 Ounce","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Lotions']]",L&#39;Oreal Paris,5.9,4.75,amazon
285,"L'Oreal Paris Eye Defense, 0.5 Fluid Ounce","[['Beauty', 'Skin Care', 'Eyes', 'Dark Circle Treatments']]",L&#39;Oreal Paris,5.3,3.5,amazon
286,Instead 12 Hour Feminine Protection Cup 24 ea,"[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions']]",Instead,8.4,3.55,amazon
287,"Clean &amp; Clear Continuous Control Acne Cleanser,  5 oz  (141g)","[['Beauty', 'Skin Care', 'Face', 'Cleansers']]",Clean &amp; Clear,6.13,5,amazon
288,Nature's Cure Two-part Acne Treatment System for Women 60 Tablets 1 Oz Cream,"[['Beauty', 'Skin Care', 'Sets & Kits']]",Nature&#39;s Cure,12.88,3.54,amazon
289,Alpha Hydrox Night Replenishing Cream 2 oz.,"[['Beauty', 'Skin Care', 'Face', 'Treatments & Masks']]",Alpha Hydrox,9.79,3.5,amazon
290,"Neutrogena Pore Refining Toner, Alpha and Beta Hydroxy Formula, 8.5 Ounce","[['Beauty', 'Skin Care', 'Face', 'Toners & Astringents']]",Neutrogena,7.69,3.88,amazon
291,"NeutrogenaClear Pore Oil Eliminating Astringent, 8 Ounce","[['Beauty', 'Skin Care', 'Face', 'Toners & Astringents']]",Neutrogena,8.28,4.5,amazon
292,"Neutrogena Body Clear Body Wash for Clean, Clear Skin, 8.5 Ounce","[['Beauty', 'Bath & Body', 'Scrubs & Body Treatments', 'Body Scrubs']]",Neutrogena,7.99,4,amazon
293,"Jason C-Effects Creme, 2 Ounces","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Lotions']]",Jason Natural Cosmetics,12.5,3,amazon
294,"Jason Shampoo, Tea Tree, 17.5 Ounce","[['Beauty', 'Hair Care', 'Shampoos']]",Jason Natural,6.83,3,amazon
295,"Jason Thin-To-Thick Extra Volume Shampoo, 8 Ounce","[['Beauty', 'Hair Care', 'Shampoos']]",Jason Natural,5.56,5,amazon
296,Thin to Thick Extra Volume Conditioner 8 oz,"[['Beauty', 'Hair Care', 'Conditioners']]",Jason Natural,10.46,5,amazon
297,Jason Purifying Tea Tree Body Wash 30 fl oz,"[['Beauty', 'Bath & Body', 'Cleansers', 'Body Washes']]",Jason Natural Cosmetics,9.59,4.83,amazon
298,"Alpha Hydrox Optimum Series, Retinol Night ResQ, Anti-Wrinkle Firming Complex - 1.05 oz","[['Beauty', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Fluids & Lotions', 'Lotions']]",Alpha Hydrox,8.99,4.2,amazon
299,"Avalon Organics Vitamin C Revitalizing Eye Creme, 1 Ounce Bottle","[['Beauty', 'Skin Care', 'Eyes', 'Creams']]",Avalon Organics,11.61,4,amazon
300,Tommy Hilfiger Tommy Cologne Spray for Men - 3.4 Fluid Ounces,"[['Beauty', 'Fragrance', ""Men's"", 'Eau de Toilette']]",Tommy Hilfiger,28.54,4.33,amazon
,,,Mountain Ocean,,,
